site,description
http://www.yjc.ir/,news
http://www.farsnews.com/,news
http://www.isna.ir/,news
http://www.irna.ir/,news
http://www.varzesh3.com/,news
https://www.digikala.com/,news
http://www.aparat.com/,media
http://plus.ir/,media
http://90tv.ir/,media
http://www.tv3.ir/,media
http://www.tv2.ir/,media
http://www.tv1.ir/,media
http://irib.ir/,media
https://www.digikala.com/,online shopping
https://www.modiseh.com/,online shopping
http://www.shixon.com/,online shopping
http://www.bamilo.com/,online shopping
http://urmode.com/,online shopping
http://torkjameh.com/,online shopping
http://brandpooshan.ir/,online shopping
http://www.banimode.com/,online shopping
https://webpoosh.com/,online shopping
https://bama.ir/,sell
https://www.sheypoor.com,sell
https://divar.ir/,sell
http://saipa.iranecar.com/,Online Shopping Iranian cars
http://ikco.iranecar.com/,Online Shopping Iranian cars
http://www.leader.ir/,Iran's supreme leader
http://www.khamenei.ir/,Iran's supreme leader
http://president.ir/,Iran's president
http://www.bankmellat.ir/,Iranian banks
https://www.bmi.ir/,Iranian banks
http://www.tejaratbank.ir/,Iranian banks
http://www.bsi.ir/,Iranian banks
http://bank-maskan.ir/,Iranian banks
http://www.parsian-bank.ir/,Iranian banks
http://www.banksepah.ir/,Iranian banks
